"Sale_ID","Date","Product_ID","Quantity","Unit_Price_CHF","Total_Price_CHF","Customer_ID","Payment_Method","Employee_ID","Discount_CHF","Channel"
"55","05/02/2025","5","2","34.07","66.88","60","Cash","5","1.26","InStore"
"56","01/19/2025","36","4","77.28","281.38","52","Cash","9","27.74","InStore"
"57","01/25/2025","17","2","36.38","67.74","116","MobilePay","9","5.02","Online"
"58","04/06/2025","8","3","75.73","224.60","22","MobilePay","13","2.59","Online"
"59","05/23/2025","2","2","109.27","191.09","7","Card","11","27.45","InStore"
"60","05/04/2025","46","1","72.77","69.14","144","Card","9","3.63","Online"
"61","06/21/2025","24","2","57.08","108.83","12","Cash","6","5.33","InStore"
"62","03/22/2025","42","3","65.98","195.63","139","Cash","12","2.31","InStore"
"63","04/19/2025","38","3","29.73","89.16","99","MobilePay","12","0.03","InStore"
"64","01/14/2025","24","4","57.08","195.18","113","MobilePay","11","33.14","InStore"
"65","06/03/2025","31","2","81.05","144.00","33","Card","2","18.10","InStore"
"66","01/25/2025","46","3","72.77","218.14","125","MobilePay","12","0.17","InStore"
"67","02/24/2025","1","1","61.69","60.74","41","Card","6","0.95","Online"
"68","04/19/2025","11","4","20.44","77.90","85","MobilePay","2","3.86","InStore"
"69","01/25/2025","8","1","75.73","66.56","41","Cash","4","9.17","InStore"
"70","05/04/2025","48","2","59.37","111.36","17","Cash","2","7.38","InStore"
"71","06/21/2025","31","2","81.05","141.10","112","MobilePay","10","21.00","InStore"
"72","02/22/2025","22","2","26.47","45.30","36","MobilePay","10","7.64","InStore"
"73","05/24/2025","39","4","89.21","331.91","8","Card","9","24.93","InStore"
"74","06/09/2025","12","3","86.44","240.62","136","MobilePay","15","18.70","InStore"
"75","06/14/2025","7","4","19.57","67.50","34","MobilePay","5","10.78","InStore"
"76","06/05/2025","12","1","86.44","78.83","35","Cash","10","7.61","Online"
"77","06/27/2025","32","4","35.71","142.14","16","Cash","12","0.70","Online"
"78","02/09/2025","32","1","35.71","31.48","50","Card","7","4.23","InStore"
"79","06/21/2025","4","4","81.30","313.09","71","Cash","4","12.11","InStore"
"80","03/16/2025","42","3","65.98","177.44","103","Cash","9","20.50","InStore"
"81","02/09/2025","25","-1","62.32","-63.87","21","MobilePay","6","1.55","InStore"
"82","05/25/2025","27","2","40.86","81.30","145","Card","3","0.42","InStore"
